TreatmentPlant,CH4 (t/y),Latitude,Longitude,Type,Treatment,Additional_info,Limit
Palgrave Landfill Site,7,43.9513,-79.8138,solid waste,nan,nan,326
Port Credit Memorial Park,25,43.551214,-79.587735,solid waste,nan,nan,630
Centennial Park,31,43.686003,-79.75052,solid waste,nan,nan,705
Professor’s Lake Park,70,43.743873,-79.737976,solid waste,nan,nan,1087
Centre Street,77,43.610523,-79.57198,solid waste,nan,nan,1144
Bolton Landfill Site,132,43.8841,-79.7321,solid waste,nan,nan,1534
Streetsville,166,43.5843,-79.7177,solid waste,nan,nan,1742
Mavis Road,230,43.5455,-79.6547,solid waste,nan,nan,2092
Newman Landfill Site,265,43.5334,-79.6397,solid waste,nan,nan,2267
Saddington Park,419,43.54643,-79.585319,solid waste,nan,nan,2956
North Sheridan Landfill Site,895,43.5289,-79.6451,solid waste,landfill – flared,nan,3998
Chinguacousy Landfill,692,43.799361,-79.84919,solid waste,nan,nan,3993
Erindale Park,758,43.546995,-79.654902,solid waste,nan,nan,3998
Albion Landfill,818,43.5843,-79.7177,solid waste,nan,nan,3998
Caledon Sanitary Landfill Site,1454,43.838468,-80.017354,solid waste,nan,nan,3998
Britannia Sanitary Landfill Site,8174,43.602023,-79.695199,solid waste,landfill – flared,nan,3998
Peel Integrated Waste Management Facility,37,43.709983,-79.67194,solid waste,nan,nan,774
Caledon Public Waste,242,43.840562,-80.018009,solid waste,nan,nan,2153
Peel Curing Facility,93,43.799361,-79.84919,solid waste,nan,nan,1267
Portlands Energy Centre LP - Portlands Energy Centre,100,43.6494603,-79.3308377,Power Plant,nan,nan,1318
Sanofi Pasteur Limited - Sanofi Pasteur Limited -Connaught Campus,13,43.786461,-79.464369,Manufacturing,nan,nan,448
York University - Keele Campus,5.6,43.7742,-79.5023,Power Plant,nan,nan,290
York Energy Centre LP,6,44.0749737,-79.5321144,Power Plant,nan,nan,301
Markham District Energy Inc. - Warden Energy Centre,4,43.846553,-79.333618,Power Plant,nan,nan,244
Descor Industries Inc.,0,43.8300802,-79.349534,Manufacturing,nan,nan,5
TransCanada Energy Ltd. - Halton Hills Generating Station,120,43.5588168,-79.8524932,Power Plant,nan,nan,1456
Whitby Cogeneration L.P.,17,43.859374,-78.902599,Power Plant,nan,nan,515
St. Marys Cement Inc. (Canada) - Bowmanville Cement Plant,14,43.7093319,-79.3541667,Manufacturing,nan,nan,466
CRH Canada Group Inc. - Mississauga Cement Plant,247,43.492389,-79.622815,Manufacturing,nan,nan,2178
Goreway Station Partnership - Goreway Power Station,61,43.746466,-79.679979,Power Plant,nan,nan,1010
Emerald Energy From Waste Inc. - Emerald Energy from Waste Inc.,48,43.6973067,-79.680664,Power Plant,nan,nan,889
Petro-Canada Lubricants Inc. - Mississauga Lubricants Centre,33,43.499146,-79.613081,Manufacturing,nan,nan,729
TransAlta Generation Partnership - Mississauga Cogeneration Plant,22,43.6980572,-79.6427518,Power Plant,nan,nan,589
The University of Toronto Central Steam Plant,nan,43.660211,-79.397909,Power Plant,nan,nan,nan
Pearl Street Steam Plant- Enwave Energy Corporation,nan,43.648165,-79.386232,Power Plant,nan,nan,nan
Walton Street Steam Plant - Enwave Energy Corporation,nan,43.6578,-79.38538,Power Plant,nan,nan,nan
Redpath Sugar Refinery,nan,43.64252,-79.37075,Manufacturing,nan,nan,nan
